     -265.3681603180    14234.1103288837         1        67       218     1113.5998995034     1254.7791348255     2199.1723510143
     -265.5616256367    14234.6056494403         1        67       180     1160.4501320693     1338.7236517612     2218.3066378356
     -265.5140795537    14232.4444798293         1        67      1796     1097.2729851389     1318.2034726092     2256.2404619786
     -260.9519558296    14231.8020922490         1      1864       408      991.8400879207     1748.8263140947     2195.1231599377
     -264.0256106394    14234.7360338867         1       180       735     1091.1735285482     1548.1875617737     2259.8644619469
     -264.3850983067    14235.1827616313         1       735       408     1045.6745334671     1615.0390155633     2246.3065105699
     -261.8787028576    14239.7188632675         1        32       239      622.3081359143     1959.3085248744     2310.5673291353
     -264.9761962329    14243.3704298380         1        43      2668      589.1265959869     1944.4175248368     2268.7748073165
     -262.6320369931    14232.3955027446         1       486      1004      868.7103035856     1760.2025257757     2246.0881884525
     -261.5016049032    14231.6817634342         1        86       486      894.0680001759     1736.1313494512     2283.5517140196
     -263.8153102012    14236.1659106896         1      1004      1864      878.5070803010     1802.2699300921     2184.7464979636
     -263.9334450886    14234.5612606101         1       408       930      938.4413701293     1704.8150973664     2179.7729803078
     -264.4188238000    14235.6337434687         1       520       735     1109.3052320495     1464.5917318506     2227.2672025380
     -261.8775116445    14234.8416971264         1        43       136      738.7603148252     1801.9217252463     2202.3983616892
     -261.5373367359    14241.7849336113         1        43      1569      638.0867096972     1801.9453825910     2149.7145697602
     -263.0974505827    14238.8986460324         1       239        43      618.7819340487     1965.7711576986     2324.2971510447
     -263.9452443598    14235.5806831440         1       520       930      963.4610329152     1615.2800010256     2171.5168157899
     -260.1973307548    14234.0871334927         1       404       136      839.4869648676     1777.3283255853     2292.2922069858
     -265.1221930893    14242.5998674046         1       239         7      633.7078510269     1939.7079531276     2304.5951917748
     -263.9129132663    14234.9225617920         1        43      1731      737.7027798632     1790.0528640890     2206.5458220058
     -265.4250161270    14240.4844730192         1        43         7      699.8921224979     1825.7378691799     2220.6554621937
     -264.1829937351    14240.8990942859         1       699       229      767.3858210629     1441.5157609126     1862.0327100988
     -264.2663640365    14235.2611250756         1       486      2989      770.6201989222     1769.2935459495     2196.5123035216
     -261.2813770653    14232.2097623027         1       404       868      811.4338352084     1797.3504319121     2319.0793721597
     -261.4872017649    14231.9096792753         1       486       868      807.2755171888     1770.4394922356     2261.7896716494
     -260.4655421061    14233.3978314136         1       899      2959      829.6307654600     1768.3810698374     2236.9749365237
     -263.6076132960    14240.8234694897         1      1227       229      758.1587042407     1437.6157576086     1864.1846164759
     -262.0832491260    14240.3189020990         1         7       229      749.2800507695     1578.0981995433     1998.8956489661
     -264.3979877659    14237.1244301829         1      2422       825     1008.3859398216     1519.0666087128     2275.8821955485
     -260.3380490995    14238.2667781911         1       309       481     1030.2420882254     1554.0937994599     2458.0304090554
     -265.2571320409    14235.8779896238         1       194       218     1100.1593488791     1242.6377339926     2039.2762368858
     -263.5311355022    14241.2954291733         1       160        30      975.1149937504     1681.0742271104     2496.2172877375
     -262.0768567497    14231.3802826341         1        49       218     1096.6492948104     1278.5718112611     2220.1064373925
     -261.6664991184    14234.2654919554         1       375      1018     1050.5191129136     1513.6776072660     2403.5282552061
     -265.3058128972    14241.5300694461         1        46       823      995.2018547105     1639.8601599083     2464.5249832118
     -262.1320966921    14237.6508221265         1        47       178     1056.0487168744     1322.2294326786     2246.7362119262
     -265.1017909257    14234.9526480486         1      1940        49     1118.7851401194     1278.8517503913     2074.1470642446
     -260.0505157443    14238.2918246284         1       178        46     1020.1898208490     1551.0323009269     2456.2191123130
     -263.3845061719    14240.2688511677         1        46       694      979.3312844051     1580.8252645486     2442.2444199053
     -265.5874644336    14237.4971882414         1        47        49     1068.6392192053     1275.4814087900     2212.1501141736
     -260.3662378226    14237.6005753741         1       375        46     1032.3271727317     1538.4669633706     2449.0039342275
